입력데이터,카테고리,메뉴,감성,정확도,긍부정이유,추천답변
배민보다 배달비는 낮은거같지만 버거킹에서 버거안에 추가하는 선택지가 없어서 아쉬움,배달,패스트푸드,긍정,90.2%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
네네치킨첫주문 만원할인ㄱㅅ합니다! 치킨 조각수가 적게 오지는 않을까 걱정되네요!하하,일반,패스트푸드,애매,95.2%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
이벤트 배너 다 엑박떠요. 재설치 몇번을 했는데도,일반,기타,애매,99.1%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
폰트 너무 잘쓰고 있습니다 사랑해요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
이 시국에 이런정책! 앱제거합니다. 시간은 걸리겠지만 이런 독점체제의 배민(요기요)에 대응할수있는 뭔가가 나오리라 생각합니다. 그동안 불편하겠지만 직접 검색해서 전화주문으로 할겁니다.,"맛, 배달",기타,부정,91.1%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","리뷰 남겨주셔서 감사합니다. 불편을 겪으신 맛, 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
아니ㅋ첫결재쿠폰 자동인줄알았는데 수동이었던거임ㅋ 이미 결재해버려서 쿠폰수령도 안되ㅋ,일반,기타,애매,99.0%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
23년 깔아서 간혹 다른 배달앱들과 같이 쓰다 매장도 부족하고 해서 몃몃 불편사항이 잇어 요기패스 구독하며 쓰다 요기패스 구독 해지하고 로그아웃하고는 몃달동안 안썻는데 요기패스 금액이 계속 이체되서 빠져나갓나보네요 확인못하고 잇다가 봣는데 최종쓴달 (1번주문 ) 제외 4개 환불처리해달라니 3개월경과되서 못준다? 구독해지 분명 햇는데 해지는 안되어 잇고 계속 돈만 빠져나갓는데 그어떤 조항에도 3개월경과햇은때 환불안된다는 조항멊고 10% 위약금 90% 환불 조항만 잇던데 무조건 안된다 우리영역이 아니다 해줄수없다 그러며 4개월중 3개월 환불처리 그러며 이것도 원래 안해주는건데 예외로 해준다고 상담원이 그러네요 ㅎ 남의돈 먹기 참 쉽네 명확한 단서조항을 만들어 두든가 분명 명시된건 따로 기간제약이 없던데 . 다신 쓸생각 없지만 어이는 없음 주변에 요기요 쓰는사람 전부 말릴생각 입니다.,"맛, 배달",기타,부정,99.3%,"분석 결과 맛, 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달, 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
태어나서 이런데 불평글 처음 남겨보네요! 직장에서 점심시킨게 1시간 30분지나서 하는소리가 문을 닫은 매장이라 취소처리 하고 환불해준다고! 그동안 음식점은 전화연락도 안돼고! 점심시간 한참 지나고 쫄쫄굶은 직장동료와 심지어 직장상사에까지 면목도 없고 너무 어의가 없는데 3천원 쿠폰이면 해결인가요? 오픈도 안한 매장 주문은 왜 받고 결제는 왜하는건가여? 빨리오는 특성으로 배달비 지불하고 쿠팡이츠 사용한건데 시스템이나 대처 방식이나 너무 불쾌합니다!,"맛, 배달",기타,부정,99.5%,분석 결과 맛 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"리뷰 남겨주셔서 감사합니다. 불편을 겪으신 맛 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
쿠팡 와우 회원된 건 한참되었는데 쿠팡이츠를 최근에서야 이용하게 되었어요 배달비를 많이 줄일 수 있게 되어서 너무 좋습니다,배달,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
배민은 광고를 너무 잘 만들어요 광고 만드시는 분들 천재 같아요,일반,기타,애매,99.6%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
왜 필터에 인기순이 없어졌나요? 맛집랭킹 같은 최근 인기순으로 많이 보는데 없어지고 다들 주문많은순이 인기순인줄 알겠어요. 기존에는 둘다 있었는데. 필터가 전부 누적이라 항상 똑같은 업체만 보이겠네요.,맛,기타,부정,93.3%,분석 결과 맛 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 맛 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
얼마 전부터 아예 들어가지지가 않아요. 한 번 주문하면 다시 깔아야 하는 상황이 반복됩니다. 하루마다 지웠다가 완전히 새로 다운로드합니다. 이 문제 좀 해결해주세요.,일반,기타,애매,98.0%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
B마트 예약 시간 왜 했습니까?합배송하느라 한시간 텀인데도 그것보다도 늦게 도착하고 한두번 그랬으면 리뷰 남기지도 않습니다. 진짜 시스템 엉망이네요 7~8시 배송 예약인에 상품준비를 7시20분에 시작해서 그것도 합배송으로 8시넘었는데도 도착할 기미가 안보이네요,"맛, 배달",기타,부정,99.5%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
메뉴별로 후기 확인할 수 있는 거 하나만으로도 배민보다 훨씬 좋아서 이거만 사용해요. 쿠폰이나 할인혜택도 더 좋은것 같아요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
맛은 최고예요! 그렇지만 이물질이 씹혔어요 환불받고 싶어요,맛,기타,부정,99.5%,분석 결과 맛 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,불편을 드려 대단히 죄송합니다. 지적해주신 맛 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다.
배달도빠르고 고객입맛에 맞게 끔 모든걸 선택할 수 있어서 너무좋아요. 앞으로 더 발전에 발전을 거듭하시길 감사합니다.대박나세요.,"맛, 배달",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,정성 가득한 리뷰에 힘이 납니다! 만족스러운 식사가 되셨다니 정말 기쁘네요. 언제나 믿고 주문하실 수 있는 가게가 되겠습니다.
분당 지역 서비스 확대 요청 합니다,일반,기타,애매,74.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
바쁜일상에 잘 사용하고 있습니다.검색창이 있다면 더 좋을거 같은데 먹고싶은 메뉴 찾을때 헤맬때가 있어요.,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
처음에 원하는 메뉴로 바로갈수있어서 좋아요😊,일반,기타,애매,97.9%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
상담사들의 응대는 별하나도 아까움,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"별 하나 주기도 아깝다~ 최초주문이라는 덫때문에 시간낭비,돈 낭비~ 해결도 못하는 챗봇과 느린고객센터의 대응~ 결국 쓰지도 못했는데 쿠폰 사용도 안되고 고객센터에서는 계속 확인중이라하고~ 이런 최악의 앱~ 내 지인 모두에게 절대로 요기요는 추천하지 않겠다~ 이런 악플 쓰는건 내 인생 최대로 첨인거 같네~","맛, 배달",기타,부정,99.5%,"분석 결과 맛, 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","고객님의 귀한 의견 감사히 받겠습니다. 맛, 배달, 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다."
"아 상담원좀 늘려요 배달잘못왔는데 매장은 문닫았고 실시간채팅도안되고 전화도 대기 1,2분이라더니 5분넘게 3번해도 안받음;","맛, 배달",기타,부정,99.5%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","리뷰 남겨주셔서 감사합니다. 불편을 겪으신 맛, 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
배달앱 이거로시작했더니 다른앱은 불편함. 요기요만의갬성이있는듯,배달,기타,부정,96.7%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,"리뷰 남겨주셔서 감사합니다. 불편을 겪으신 배달 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
안녕하세요 순대국집입니다 수수료 광고제외 정말 기본 16.5%를 듣고 어떤 정신으로 앱의 수수료를 이렇게까지 높였을까 생각했습니다. 몇년 전 수수료부터 지금까지 조금씩 숨통을 잡고 턱밑까지 끌여올렸습니다. 배달앱 참 좋지만 수수료 3%대까지 인하해주세요,배달,분식,부정,95.8%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,고객님의 귀한 의견 감사히 받겠습니다. 배달 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다.
편리합니다. 음식점 정보도 잘 나와있어요,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
음식 양도 푸짐하고 맛있고 사장님도 친절하세요,"맛, 가격/양",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
사용 잘하고 있습니다! 프로모션도 많고 좋아요!,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
배달 진짜 느리고 고객응대 최악 이름만 익스프레스면 뭐하나요 한시간이 넘도록 걸리는건 그렇다치고 그때가서 주문취소 해버리면ㅋ 밥은 어쩌라고요? 서비스센터로 연락했더니 상담 연결도 꼭꼭 숨겨놓고. 그냥 죄송하다는 말밖에 없고. 서비스 운영 부분에서 고민 많이 해보는게 좋을거 같네요. 고객이 떠나가게 만드는 방식의 운영이예요. 요기패스로 새 유저 많이 획득했을 거 같은데 이탈율도 굉장히 높을 것 같네요. 참 아쉽습니다. 경쟁 서비스에 한참 못미쳐요.,"맛, 배달",기타,부정,99.4%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
뭐든지 시킬수 있어서 좋았어요. (다른걸 시키면 다른 음식 메뉴가 사라져요.),맛,기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
고객센터 연락 안되서 엄청 열받아서 첫주문후 바로 삭제 했어요 정말 고객센터란게 카톡연결되면 입력하잖아요 바로 자동 답장떠요 지금 문의가 많아서 나중연락달라구요,일반,기타,애매,99.3%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
지구 뿌시는 맛이에요. 식감이 정말 예술이네요. 친구들 다 데려올게요.,맛,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
주문이 잘못된 요청뜨고 로그인 됐는데 로그인하라고 하면서 팅기고 찜 목록도 안보이고 주문내역도 옛날꺼 네트워크 다시 접속하라고 하고 어플이 완전 먹통임 4일정도 된것 같은데 증상이 안없어짐,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
할인도 많이 되고 자주 쿠폰도 주고 쿠팡과 연계되어 포인트를 사용할 수있어서 좋아요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
익스프레스라고 광고하고 필요하면 묶음배달? 배달기사분이 음식 픽업하고 집앞을 지나 다른 동 다른 곳 2~3군대 들렸다가 1완료시간 15분 지났다. 음식은 다 식고 고객센터 문의하니 필요하면 묶음배달이 익스프레스란다. 몇개나 들고 있나 물어보니 알려줄수 없단다.,"맛, 배달",기타,부정,99.3%,"분석 결과 맛, 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","불편을 드려 대단히 죄송합니다. 지적해주신 맛, 배달 요소들을 면밀히 살펴보고 동일한 문제가 재발하지 않도록 철저히 관리하겠습니다."
같은 음식점인데도 타 앱에 비해 배달비가 저렴해서 너무 좋아여~ 그래서 3월부터 배민으로 갈아 탔어요~,"맛, 배달, 가격/양",기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
집 위치가 안바낀다 검색도 안되고 처음 켰을때 '주소가 맞으신가요?' 는 왜 뜨는거야 개짱나게 맞지도 않는대. 눌려서 바꿔주는것도 아니면 약올릴라고 이케 만들었나,일반,기타,애매,99.2%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
다른건 모르겠지만 배달하는 분이 타사에 비해 빠르고 메너있으세요 . 예정시간도 잘지키고 실시간 현황을 볼수있어 좋습니다. 주문받고 20분뒤에 지맘대로 취소하는 가게나 주문한지 1초만에 전화해도 만들기 시작했다고 거짓말 밥먹듯이 하는 타사 업체에 비해 정말 만족하며 쓰고 있습니다. 여긴 리뷰이벤트 같은건 없지만 거짓말을 안써도 되서 좋아요 ㅎ,"맛, 배달",기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
좋은 식당 정보와 솔직 리뷰가 많아서 좋아요 ^,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
매우매우 좋아요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
쿠팡이츠의 등장으로 몰락하는 별 압도적인 힘 앞에서 무력하게 두들겨 맞는 중 한결같이 변화없는 어플 화면을 보고있으면 수수료로 번돈은 광고로 다 쓰는것 같다,일반,기타,부정,96.2%,분석 결과 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,고객님의 귀한 의견 감사히 받겠습니다. 가격/양 관련 피드백은 저희 팀과 공유하여 더 나은 품질을 실천하는 계기로 삼겠습니다. 다시 한번 죄송합니다.
정말 맛있었지만 테이블이 끈적거려서 재방문 의사 절대 없어요.,맛,기타,긍정,99.4%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
항상 책자로보고 전화해서 시켜먹다가 앱깔아서 쿠폰도쓰고 리뷰서비스도받았어요. 다들이래서 앱쓰나봐요!ㅜ 수수료있을까봐 항상 전화로햇는데 ㅜ.제가넘손해엿던거.ㅜ 이젠 앱으로만 주문할거같아요~,일반,기타,애매,95.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
업체에서 별점 낮게줬다고 협박함 콜센터에서는 그대로 믿고 전화해서 구매자에게 따져물으니 쉬는날 얼탱이가 없었음,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
상담원과 연결이 불가함. 배송 너무 지연되는데 그냥 기다리라는식. 웃긴건 배송예상 시간이 계속 바뀜. 그리고 쿠팡주문과 메뉴구성이 다름 요기요가 수수료가 비싸서 그런지 형편없음.담부턴 이용안하는 걸로,"맛, 배달, 가격/양",기타,부정,99.4%,"분석 결과 맛, 배달, 가격/양 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.","리뷰 남겨주셔서 감사합니다. 불편을 겪으신 맛, 배달, 가격/양 항목은 저희 매장에서 가장 중요하게 생각하는 부분인데 실망시켜 드려 죄송하며, 즉시 시정 조치하겠습니다."
역시 배민만한게 없네요! 주문도 편리하고 실시간 현황까지 언제든 확인할수 있어 너무 좋아요👍 이벤트들도 알차고 꼭 쓰게되는 앱입니다! 근데 업데이트가 너무 자주 하네요,"맛, 배달",기타,부정,99.8%,분석 결과 배달 부분에서 아쉬움이 포착되었습니다. 전문 컨설팅 가이드를 확인하여 개선 계획을 세우시길 권장합니다.,안녕하세요 사장님입니다. 배달 부분에서 불편을 드려 진심으로 사과드립니다. 해당 피드백을 바탕으로 내부 과정을 전면 재점검하겠습니다.
기다림이 없긴 뭐가 없나요? 익스프레스 30분 주문하고 35분뒤에 재료없다고 주문취소 연락왔어요. 한두번도 아니고 업체관리 똑바로 하세요,일반,기타,애매,99.4%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
"업데이트 이후에 생긴 [최근에 주문했어요] 는 주문 내역을 삭제해도 그대로 남아있고, 알림내역도 뜨는 것까진 좋은데 삭제릉 못함.ㅋ",일반,기타,애매,95.5%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
음식점이많이늘었네요.양도좋지만질도개선되면더좋겠네요.,"맛, 가격/양",기타,긍정,99.7%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,와우! 별 5개와 좋은 리뷰 너무나 감사드립니다. 고객님의 단골 메뉴가 될 수 있도록 항상 정성을 다하겠습니다. 감사합니다!
주문하기도 편하고 할인도 되고 배달원 대면없이 문 앞에 놓아주고. 좋아요,배달,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
사용하기 편하고 혜택이 많아요,일반,기타,애매,99.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
검색도 빠르고 처음이라고 쿠폰도 주고 첫배송에 기분이 좋았습니다,일반,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
갑자기 결제수단 변경란이 없어졌어요. 장바구니 담아놓고 주문하기 누르면 주문은되는데 원하는 결제방법을 선택할수없네요. 갑자기 그러는데 왜그런거죠? 못쓰겠어요.,일반,기타,애매,94.1%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
후발주자라그런지 할인폭도 크고 배송도 다른곳보다 흐훨씬 낫네요,일반,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,"고객님, 소중한 리뷰와 칭찬 감사드립니다! 보내주신 성원에 보답하기 위해 앞으로도 변함없는 맛과 서비스로 모시겠습니다."
저는 배달의민족만사용합니다 환경이 너무 편리하구 빨라요 좋아!,배달,기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,최고의 찬사를 보내주셔서 감사합니다! 고객님의 따뜻한 말씀 한마디가 저희에겐 큰 보람입니다. 다음에 또 봬요! 😊
잘 쓰고는 있는데 쿠폰을 받아논 것 중에 동네에 없거나 안 쓰는 쿠폰들은 삭제할 수 있는 기능도 있으면 좋겠어요~,일반,기타,애매,98.8%,"분석 가능한 카테고리(맛, 배달 ,가격/양)가 포함되지 않은 리뷰입니다. 서비스 개선을 위한 구체적인 피드백이 있는지 확인해 보세요.",소중한 리뷰 감사드립니다. 고객님의 의견을 바탕으로 더욱 발전하는 매장이 되겠습니다.
다양한 음식을 택할수 있어서 좋아요.,"맛, 가격/양",기타,긍정,99.8%,고객님께서 전반적인 서비스에 매우 만족하고 계십니다. 긍정적인 브랜드 이미지를 유지하기 위해 현재의 품질을 지속해 주세요.,맛있게 드셔주셔서 정말 감사합니다! 보내주신 응원에 힘입어 오늘도 최선을 다해 조리하겠습니다. 즐거운 하루 되세요!
